ID;ZMED;HX;RESIDUE
219;-0.143848;-0.141581;-0.00226696
220;-0.0889764;-0.0889903;1.38939e-05
221;0.0804764;0.0804896;-1.31577e-05
222;-0.0786058;-0.0786195;1.37447e-05
223;0.0351058;0.0351082;-2.43351e-06
224;-0.035;-0.0350025;2.45536e-06
225;-0.00749967;-0.00749755;-2.1124e-06
226;-0.0922906;-0.0924629;0.000172332
227;-0.139797;-0.137472;-0.00232532
228;0.010002;0.00999917;2.84656e-06
229;0.00749967;0.00749753;2.13645e-06
230;0.0712886;0.0714741;-0.000185514
231;0.138797;0.13647;0.0023269
232;-0.01;-0.00999715;-2.8476e-06
233;-0.00737181;-0.00736983;-1.98629e-06
234;-0.0711366;-0.0713241;0.000187597
235;-0.138468;-0.136136;-0.00233161
236;0.00587181;0.00586944;2.3717e-06
237;0.0711366;0.0713242;-0.000187636
238;0.137468;0.135134;0.00233342
239;-0.00282353;-0.00282472;1.19707e-06
240;-0.0674271;-0.0676653;0.000238282
241;-0.129502;-0.127055;-0.0024475
242;-0.00367647;-0.00367859;2.11349e-06
243;0.0624271;0.0626712;-0.000244178
244;0.119502;0.116845;0.00265755
245;-0.102157;-0.101911;-0.000246412
246;-0.041423;-0.0418542;0.000431229
247;0.00520749;0.00525456;-4.70722e-05
248;0.00992596;0.00991942;6.54368e-06
249;-0.0525166;-0.0528589;0.000342308
250;-0.104296;-0.101428;-0.00286758
251;0.0907315;0.0904913;0.000240197
252;0.0934396;0.0942134;-0.000773787
253;0.0975885;0.0946648;0.00292363
254;0.0510128;0.0510458;-3.29894e-05
255;0.0590339;0.0589725;6.14592e-05
256;0.0725461;0.0723864;0.000159752
257;-0.162274;-0.162063;-0.000210271
258;-0.114578;-0.114926;0.00034777
259;-0.10484;-0.104591;-0.00024883
260;0.106261;0.106016;0.000244843
261;0.0465442;0.0469633;-0.000419134
262;0.00129393;0.00131397;-2.00407e-05
263;0.0115002;0.0115012;-1.00004e-06
264;0.0125005;0.0124969;3.57557e-06
265;0.00700004;0.00699957;4.69886e-07
266;-1.84e-09;3.40492e-11;-1.87405e-09
267;0.0140018;0.0139991;2.69125e-06
268;-1.35e-09;-3.71506e-09;2.36506e-09
269;-0.0235002;-0.0235045;4.26682e-06
270;-0.0350023;-0.0349911;-1.12263e-05
271;-0.018;-0.0179961;-3.95526e-06
272;-0.007;-0.00699933;-6.72527e-07
273;-0.0115;-0.011501;9.99896e-07
274;-0.0125;-0.0124964;-3.57492e-06
275;-0.007;-0.00699953;-4.71005e-07
276;0.162283;0.162073;0.000210277
277;0.114588;0.114936;-0.000347797
278;0.104851;0.104602;0.000248575
279;-0.164783;-0.164573;-0.00020998
280;-0.114588;-0.114936;0.000347779
281;-0.104851;-0.104602;-0.000248614
282;0.16483;0.16462;0.000210006
283;0.114636;0.114984;-0.000347904
284;0.104904;0.104657;0.000247378
285;-0.157015;-0.157107;9.19136e-05
286;-0.122164;-0.122251;8.73461e-05
287;-0.120647;-0.119068;-0.00157853
288;0.157076;0.157168;-9.21561e-05
289;0.122205;0.122292;-8.74176e-05
290;0.120698;0.119119;0.00157937
291;-0.157076;-0.157169;9.21659e-05
292;-0.133705;-0.133792;8.68048e-05
293;-0.126198;-0.124606;-0.00159215
294;0.157085;0.157177;-9.21994e-05
295;0.133712;0.133799;-8.6824e-05
296;0.126205;0.124613;0.00159227
297;-0.0980805;-0.0980903;9.77354e-06
298;-0.0956939;-0.0958384;0.000144514
299;-0.143952;-0.141687;-0.00226505
300;0.0980805;0.0980903;-9.76963e-06
301;0.0956939;0.0958384;-0.000144519
